日期,hs300_close,hs300_ret,hs300_turnover_log,hs300_amplitude,hs300_turnover_rate,csi_close,csi_ret,csi_turnover_log,csi_amplitude,margin_total,douyin_search,turnover_heat_z,turnover_rate_heat_z,price_accel_z,amplitude_heat_z,margin_heat_z,search_heat_z,crowding_z,escape_index_0_100,escape_signal,escape_level
2015-07-09,3897.63,0.0640424346990478,27.059638444844477,10.71,1.53,5144.13,0.04973247191057095,27.50837029584325,7.68,14385.9,,-1.665,0.576,1.903,1.135,-0.371,,0.063,51.57,0,相对安全
2015-07-10,4106.56,0.053604369835002386,27.167523497350732,7.48,1.52,5386.22,0.04706140785711099,27.501098423234847,4.8,14406.800000000001,,-1.381,0.535,1.576,0.018,-0.378,,-0.01,49.76,0,相对安全
2015-07-13,4211.81,0.025629724148679145,27.214371277581773,5.01,1.52,5598.64,0.03943767614393767,27.728593660677028,3.62,14396.300000000001,,-0.657,0.52,1.091,-0.742,-0.393,,0.026,50.64,0,相对安全
2015-07-14,4112.15,-0.023662036036763423,27.11605570587122,4.65,1.38,5610.2,0.002064787162596504,27.84013297710846,3.95,14415.9,,-0.621,0.048,0.058,-0.804,-0.4,,-0.282,42.99,0,相对安全
2015-07-15,3966.76,-0.035356200527704384,26.965614643820533,5.22,1.28,5375.38,-0.041855905315318465,27.794212322796493,5.16,14224.699999999999,,-1.127,-0.273,-0.589,-0.495,-0.466,,-0.608,35.26,0,相对安全
2015-07-16,3997.36,0.007714104205951422,26.7395471220165,5.31,1.0,5437.81,0.011614062633711564,27.641254552843016,6.93,14212.3,,-2.064,-1.274,0.556,-0.148,-0.482,,-0.86,29.73,0,相对安全
2015-07-17,4151.5,0.03856044989693186,26.79998357903224,4.75,1.0,5691.55,0.046662167306323665,27.666593009151708,5.02,14282.4,,-1.77,-1.23,1.202,-0.698,-0.476,,-0.687,33.47,0,相对安全
2015-07-20,4160.61,0.0021943875707575167,26.90430452438051,2.78,1.07,5768.49,0.013518285879944747,27.853206894062822,3.3,14270.599999999999,,-0.992,-0.943,0.338,-1.367,-0.493,,-0.629,34.78,0,相对安全
2015-07-21,4166.01,0.0012978866079735862,26.79098711191922,2.88,0.97,5830.52,0.010753247383630926,27.75714109279301,3.81,14359.5,,-1.468,-1.263,0.319,-1.13,-0.48,,-0.813,30.71,0,相对安全
2015-07-22,4157.16,-0.002124334795163829,26.814196699687255,2.23,0.97,5869.74,0.00672667274960026,27.82404128613072,2.63,14397.300000000001,,-1.199,-1.22,0.254,-1.46,-0.482,,-0.769,31.67,0,相对安全
